text,label
teas gone cold wondering why,0
got out bed all,0
morning rain clouds up window window,0
cant see all,0
even if could itd all be grey,0
but picture wall,0
reminds that not bad not bad bad,0
dear slim wrote but still aint callin,0
left cell pager home phone bottom,0
sent two letters back autumn must notve got,0
there probly was problem post office or somethin,0
sometimes scribble addresses too sloppy when jot,0
but anyways fuck whats been up man hows daughter,1
girlfriends pregnant too bout be father,0
if have daughter guess what ima call ima name bonnie,0
read about uncle ronnie too sorry,0
had friend kill over some bitch who didnt want,1
know probly hear this every day but biggest fan,0
even got underground shit that did skam,1
got room full posters pictures man,0
like shit did rawkus too that shit was phat,1
anyways hope get this man hit back,0
just chat truly biggest fan this is stan,0
teas gone cold wondering why,0
got out bed all,0
morning rain clouds up window window,0
cant see all,0
even if could itd all be grey,0
but picture wall,0
reminds that not bad not bad bad,0
dear slim still aint called or wrote hope have chance,0
aint mad just think fucked up dont answer fans,1
if didnt want talk outside concert didnt have,0
but coulda signed autograph matthew,0
thats little brother man only six years old,0
waited blisterin cold four hours just said,0
thats pretty shitty man like fuckin idol,1
wants be just like man likes more than,0
aint that mad though just dont like bein lied,0
remember when met denver said if write would write back,0
see just like way never knew father neither,0
used always cheat mom beat,1
can relate what sayin songs,0
when have shitty day drift away put,1
cause dont really got shit else that shit helps when depressed,1
even got tattoo name across chest,0
sometimes even cut see how much bleeds,1
like adrenaline pain is such sudden rush,0
see everything say is real respect cause tell,0
girlfriends jealous cause talk about 247,0
but dont know like know slim one does,0
dont know what was like people like growin up,0
gotta call man be biggest fan ever lose,0
sincerely stan ps should be together too,0
teas gone cold wondering why,0
got out bed all,0
morning rain clouds up window window,0
cant see all,0
even if could itd all be grey,0
but picture wall,0
reminds that not bad not bad bad,0
dear mr imtoogoodtocallorwritemyfans,0
thisll be last package ever send ass,1
been six months still word dont deserve,0
know got last two letters wrote addresses perfect,0
this is cassette sendin hope hear,0
car right now doin ninety freeway,0
hey slim drank fifth vodka dare drive,1
know song phil collins air night,0
about that guy who coulda saved that other guy from drownin,0
but didnt then phil saw all then show found,0
thats kinda how this is coulda rescued from drownin,0
now too late thousand downers now drowsy,0
all wanted was lousy letter or call,0
hope know ripped all pictures off wall,0
loved slim coulda been together think about,0
ruined now hope cant sleep dream about,0
when dream hope cant sleep scream about,0
hope conscience eats cant breathe without,0
see slim shut up bitch tryna talk,1
hey slim thats girlfriend screamin trunk,1
but didnt slit throat just tied up see aint like,1
cause if suffocates suffer more then die too,1
gotta almost bridge now,0
shit forgot how am supposed send this shit out,1
teas gone cold wondering why,0
got out bed all,0
morning rain clouds up window window,0
cant see all,0
even if could itd all be grey,0
but picture wall,0
reminds that not bad not bad bad,0
dear stan meant write sooner but just been busy,0
said girlfriends pregnant now how far along is,0
look really flattered would call daughter that,0
heres autograph brother wrote starter cap,0
sorry didnt see show mustve missed,0
dont think did that shit intentionally just diss,1
but whats this shit said about like cut wrists too,1
say that shit just clownin dawg come how fucked up is got some issues stan think need some counselin,1
help ass from bouncin off walls when get down some,1
whats this shit about meant be together,1
that type shitll make not want meet each other,1
really think girlfriend need each other,0
or maybe just need treat better,0
hope get read this letter just hope reaches time,0
before hurt think that be doin just fine,0
if relax little glad inspire but stan,0
why are mad try understand that want as fan,0
just dont want some crazy shit,1
seen this one shit news couple weeks ago that made sick,1
some dude was drunk drove car over bridge,1
had girlfriend trunk was pregnant kid,0
car found tape but didnt say who was,0
come think about name was was,0
damn,1
mhmmm inhales,0
high baby,0
yeah,0
yeah,0
talk,0
want tell something,0
uhhuh,0
know what wanna hear,0
know want baby think want too,0
think love baby think love too ohooh,0
here save girl come be shadys world,0
wanna grow together lets let love unfurl,0
know want baby know want too,0
call superman here rescue,0
wanna save girl come be shadys world,0
boy drive crazy bitch make hurl,1
call superman,0
leap tall hoes single bound,1
single now got ring this finger now,0
never let another chick bring down,0
relationship save bitch,1
babysit make sick,0
superman aint savin shit,1
girl can jump shadys dick,1
straight from hip cut chase,0
tell muhfuckin slut face,1
play games say names,0
ever since broke up whatsherface,0
different man kiss ass,1
kiss lips bitch why ask,1
kiss dick get cash,1
rather have whip ass,1
dont put out put out,0
wont get out push out,0
puss blew out poppin shit,1
wouldnt piss fire put out,1
am too nice buy ice,0
bitch if died wouldnt buy life,1
what tryin be new wife,0
what mariah fly through twice,0
but know one thing though,0
bitches come,1
saturday through sunday monday yeah,0
monday through sunday,0
maybe love one day,0
maybe someday grow,0
til then just sit drunk ass that fuckin runway,1
cause cant be superman cant be superman,0
cant be superman cant be superman,0
cant be superman cant be superman,0
cant be superman superman superman,0
dont get wrong love these hoes,1
secret everybody knows,0
yeah fuckedbitch what,1
thats about as far as buddy goes,0
be friends call again,0
chase around every bar attend,0
never know what kinda car be,0
see how much be partyin then,0
dont want that neither dont wanna flip when see guys,0
too much pride between,0
not jealous man but females lie,0
but guess thats just what sluts,1
how could ever be just two,0
never love enough trust,0
just met just fucked,1
but know one thing though,0
bitches come,1
saturday through sunday monday through sunday,0
maybe love one day,0
maybe someday grow,0
til then just sit drunk ass that fuckin runway,1
cause cant be superman cant be superman,0
cant be superman cant be superman,0
cant be superman cant be superman,0
cant be superman superman superman,0
cause cant be superman cant be superman,0
cant be superman cant be superman,0
cant be superman cant be superman,0
cant be superman superman superman,0
know want baby think want too,0
think love baby think love too,0
here save girl come be shadys world,0
wanna grow together lets let love unfurl,0
know want baby know want too,0
call superman here rescue,0
wanna save girl come be shadys world,0
boy drive crazy bitch make hurl,1
first thing say,0
not fazed hang around big stars all day,0
dont see what big deal is anyway,0
just plain old marshall,0
yeah girl run that game,0
hailie jade love that name,0
love that tattoo whats that say,0
rot pieces thats great,0
first off dont know marshall,0
all dont grow partial,0
thats ammo arsenal,0
slap off that bar stool,1
there goes another lawsuit,0
leave handprints all across,1
good lordy whoadie,0
must be gone off that water bottle,0
want what cant have,0
girl thats too damn bad,1
dont touch what cant grab,0
end up two backhands,0
put anthrax tampax,0
slap til cant stand,0
girl just blew chance,0
dont mean ruin plans,0
but know one thing though,0
bitches come,1
saturday through sunday monday through sunday,0
maybe love one day,0
maybe someday grow,0
til then just sit drunk ass that fuckin runway,1
cause cant be superman cant be superman,0
cant be superman cant be superman,0
cant be superman cant be superman,0
cant be superman superman superman,0
cause cant be superman cant be superman,0
cant be superman cant be superman,0
cant be superman cant be superman,0
cant be superman superman superman,0
know want baby think want too,0
think love baby think love too,0
here save girl come be shadys world,0
wanna grow together lets let love unfurl,0
know want baby know want too,0
call superman here rescue,0
wanna save girl come be shadys world,0
boy drive crazy bitch make hurl,1
cause cant be superman cant be superman,0
cant be superman cant be superman,0
cant be superman cant be superman,0
cant be superman superman superman,0
cause cant be superman cant be superman,0
cant be superman cant be superman,0
cant be superman cant be superman,0
cant be superman superman superman,0
obie trice real name gimmicks,0
two trailerpark girls round outside,0
round outside round outside,0
two trailerpark girls round outside,0
round outside round outside,0
guess whos back again,0
shadys back tell friend,0
guess whos back guess whos back,0
guess whos back guess whos back,0
guess whos back guess whos back,0
guess whos back,0
created monster,0
cause nobody wants see marshall more want shady chopped liver,0
if want shady this is what give,0
little bit weed mixed some hard liquor,1
some vodka thatll jumpstart heart quicker,1
than shock when get shocked hospital,0
doctor when not cooperating,0
when rockin table while operating hey,0
waited this long now stop debating,0
cause back rag ovulating,0
know that got job ms cheney,0
but husbands heart problems complicating,0
fcc wont let be,0
or let be let see,0
tried shut down mtv,0
but feels empty without,0
come dip bum lips,1
fuck that cum lips some tits,1
get ready cause this shits about get heavy,1
just settled all lawsuits fuck debbie,1
now this looks like job,0
everybody just follow,0
cause need little controversy,0
cause feels empty without,0
said this looks like job,0
everybody just follow,0
cause need little controversy,0
cause feels empty without,0
little hellions kids feeling rebellious,0
embarrassed parents still listen elvis,0
start feelin like prisoners helpless,0
til someone comes along mission yells bitch,1
visionary vision is scary,0
could start revolution pollutin airwaves,0
rebel just let revel bask,0
fact that got everyone kissin ass,1
disaster such catastrophe,0
see damn much ass asked,1
back,0
fix bent antenna tune then gonna,0
enter up under skin like splinter,1
center attention back winter,0
interesting best thing since wrestling,0
infesting kids ears nesting,0
testing attention please,0
feel tension soon as someone mentions,0
heres ten cents two cents is free,0
nuisance who sent sent,0
now this looks like job,0
everybody just follow,0
cause need little controversy,0
cause feels empty without,0
said this looks like job,0
everybody just follow,0
cause need little controversy,0
cause feels empty without,0
tisket tasket titfortat wit,0
anybody whos talkin this shit that shit,1
chris kirkpatrick can get ass kicked,1
worse than little limp bizkit bastards,1
moby can get stomped obie,0
thirtysixyearold baldheaded fag blow,1
dont know too old let,0
over nobody listens techno,0
now lets just give signal,0
be there whole list full new insults,0
been dope suspenseful pencil,0
ever since prince turned into symbol,0
but sometimes shit just seems,1
everybody only wants discuss,0
this must mean disgusting,0
but just just obscene yeah,0
though not first king controversy,0
am worst thing since elvis presley,0
black music selfishly,0
use get wealthy hey,0
theres concept that works,0
twenty million other white rappers emerge,0
but matter how many fish sea,0
itd be empty without,0
now this looks like job,0
everybody just follow,0
cause need little controversy,0
cause feels empty without,0
said this looks like job,0
everybody just follow,0
cause need little controversy,0
cause feels empty without,0
hum dei,0
hum dei,0
kids,0
